avg_waiting_time_car,avg_waiting_time_bicycle,avg_waiting_time_bus,avg_waiting_time_pedestrian,co2_total_kg_per_s,co2_total_kg_per_hour,reward_waiting_avg,reward_flow_avg,reward_co2_avg,reward_equity_avg,reward_safety_avg,reward_blocked_avg,reward_diversity_avg,reward_consecutive_continue_avg,reward_bus_assistance_avg,reward_next_bonus_avg,reward_skip2p1_effectiveness_avg,reward_skip2p1_incentive_avg,reward_stability_avg,safety_violations_total
48.7,32.15,1.98,1.75,0.46,1671.46,-2.77,0.28,-0.02,-0.12,0.05,-0.02,0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
18.47,27.71,1.42,2.11,0.08,270.63,-0.69,0.42,-0.0,-0.14,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.01,0
20.58,10.21,0.91,1.94,0.1,356.58,-0.21,0.47,-0.0,-0.18,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
43.78,17.47,6.35,1.89,1.34,4819.57,-2.13,0.27,-0.07,-0.23,0.05,-0.02,-0.0,0.0,-0.01,0.02,0.04,-0.0,0.02,0
49.69,32.58,2.28,2.04,0.66,2385.42,-3.04,0.29,-0.03,-0.12,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
51.04,36.7,0.71,3.66,0.51,1832.54,-3.69,0.2,-0.03,-0.11,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
18.56,21.71,1.32,2.13,0.06,220.54,-0.67,0.4,-0.0,-0.12,0.05,-0.02,-0.0,0.0,0.01,0.03,0.05,-0.0,0.02,0
45.48,33.69,1.03,2.32,0.31,1100.71,-2.56,0.31,-0.02,-0.1,0.05,-0.02,-0.0,0.0,0.0,0.02,0.04,-0.0,0.02,0
46.48,7.02,1.51,1.59,0.45,1636.31,-1.94,0.36,-0.02,-0.36,0.05,-0.02,-0.0,0.0,0.01,0.01,0.04,-0.0,0.02,0
50.55,19.96,3.57,2.95,0.69,2486.32,-2.89,0.27,-0.03,-0.23,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
21.11,21.22,0.76,3.29,0.1,365.11,-0.61,0.41,-0.01,-0.1,0.05,-0.01,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
22.23,24.6,0.39,2.46,0.08,271.82,-0.53,0.44,-0.0,-0.12,0.05,-0.01,-0.0,0.0,0.01,0.02,0.05,-0.0,0.02,0
39.74,27.68,1.34,3.59,0.23,831.59,-1.45,0.4,-0.01,-0.12,0.05,-0.01,-0.0,0.0,0.01,0.01,0.05,-0.0,0.02,0
54.17,37.04,0.76,5.59,0.71,2552.63,-3.79,0.27,-0.04,-0.12,0.05,-0.01,-0.01,0.0,0.01,0.01,0.05,-0.0,0.02,0
53.7,23.26,3.39,2.47,0.79,2858.73,-3.15,0.27,-0.04,-0.22,0.05,-0.01,-0.01,0.0,0.0,0.03,0.05,-0.0,0.02,0
51.59,34.2,2.72,4.69,0.75,2705.37,-3.68,0.2,-0.04,-0.13,0.05,-0.01,0.01,0.0,-0.0,0.02,0.04,-0.01,0.03,0
55.63,36.35,1.75,2.47,0.83,3002.42,-4.07,0.21,-0.04,-0.13,0.05,-0.01,-0.01,0.0,0.0,0.02,0.04,-0.0,0.03,0
44.67,14.92,0.76,9.94,0.25,909.45,-1.89,0.37,-0.01,-0.26,0.05,-0.01,-0.0,0.0,0.01,0.02,0.04,-0.0,0.03,0
34.54,18.29,1.06,2.47,0.26,929.87,-0.93,0.42,-0.01,-0.16,0.05,-0.01,-0.0,0.0,0.01,0.02,0.04,-0.0,0.03,0
48.04,8.64,1.13,2.23,0.51,1833.36,-2.18,0.34,-0.03,-0.35,0.05,-0.01,-0.0,0.0,0.01,0.02,0.04,-0.0,0.03,0
52.93,41.68,4.87,16.44,1.32,4743.43,-4.21,0.2,-0.07,-0.09,0.05,-0.01,-0.01,0.0,-0.0,0.01,0.04,-0.0,0.03,0
35.47,22.51,0.79,3.08,0.26,935.41,-1.5,0.36,-0.01,-0.13,0.05,-0.01,-0.0,0.0,0.01,0.02,0.04,-0.0,0.03,0
54.33,24.32,1.09,5.7,0.79,2826.39,-3.73,0.2,-0.04,-0.22,0.05,-0.01,-0.0,0.0,0.01,0.01,0.04,-0.01,0.03,0
56.59,38.81,2.58,6.84,0.91,3273.1,-4.04,0.27,-0.05,-0.12,0.05,-0.01,-0.01,0.0,0.01,0.02,0.04,-0.0,0.03,0
45.75,23.11,2.25,6.97,0.41,1463.42,-2.02,0.37,-0.02,-0.18,0.05,-0.01,-0.01,-0.0,0.01,0.02,0.04,-0.0,0.03,0
14.0,17.54,1.12,0.64,0.1,364.64,-0.29,0.45,-0.01,-0.11,0.05,-0.01,-0.0,-0.0,0.01,0.04,0.02,-0.01,0.05,0
15.4,8.93,1.11,0.73,0.19,685.57,-0.23,0.45,-0.01,-0.14,0.05,-0.01,0.0,-0.0,0.01,0.05,0.01,-0.03,0.05,0
13.66,15.0,3.08,0.3,0.17,599.95,-0.2,0.46,-0.01,-0.11,0.05,-0.01,0.0,-0.0,0.0,0.03,0.01,-0.02,0.05,0
32.86,37.77,17.43,0.43,0.81,2932.98,-2.06,0.29,-0.04,-0.11,0.05,-0.01,0.0,-0.0,-0.04,0.03,0.01,-0.03,0.06,0
20.76,15.62,0.6,0.49,0.22,783.34,-0.43,0.41,-0.01,-0.1,0.05,-0.01,0.0,-0.0,0.0,0.04,0.01,-0.02,0.05,0
14.56,7.89,1.96,0.45,0.13,472.95,-0.18,0.46,-0.01,-0.16,0.05,-0.01,0.0,-0.0,0.01,0.03,0.01,-0.02,0.06,0
21.74,26.96,3.58,0.48,0.21,748.54,-0.93,0.36,-0.01,-0.12,0.05,-0.01,0.0,-0.0,0.0,0.05,0.01,-0.03,0.06,0
40.51,6.45,13.77,0.45,0.79,2830.41,-1.3,0.37,-0.04,-0.36,0.05,-0.01,0.0,-0.0,-0.03,0.07,0.01,-0.02,0.05,0
12.68,30.81,3.21,0.61,0.08,292.46,-0.95,0.38,-0.0,-0.22,0.05,-0.01,0.0,-0.0,0.0,0.05,0.01,-0.02,0.05,0
41.51,4.92,19.27,0.31,1.06,3808.26,-1.37,0.37,-0.05,-0.39,0.05,-0.01,0.0,-0.0,-0.05,0.1,0.01,-0.02,0.05,0
22.34,32.2,3.22,0.49,0.21,767.13,-1.14,0.36,-0.01,-0.16,0.05,-0.01,0.0,-0.0,0.0,0.08,0.01,-0.02,0.05,0
18.37,8.03,3.01,0.38,0.19,699.09,-0.4,0.42,-0.01,-0.2,0.05,-0.01,0.0,-0.0,0.0,0.06,0.02,-0.02,0.05,0
19.36,9.49,1.91,0.49,0.2,705.57,-0.2,0.46,-0.01,-0.18,0.05,-0.01,-0.02,-0.0,0.0,0.09,0.02,-0.02,0.05,0
35.9,25.57,1.4,0.8,0.32,1146.97,-1.23,0.38,-0.02,-0.12,0.05,-0.01,-0.07,-0.0,0.01,0.09,0.02,-0.01,0.05,0
23.15,26.53,0.65,2.03,0.09,330.83,-0.64,0.42,-0.0,-0.13,0.05,-0.01,-0.08,-0.0,0.01,0.06,0.04,-0.01,0.06,0
44.81,9.27,12.39,1.35,1.1,3950.28,-1.74,0.36,-0.05,-0.33,0.05,-0.01,-0.06,-0.0,-0.03,0.06,0.03,-0.01,0.05,0
34.77,29.09,1.18,0.79,0.37,1318.49,-1.65,0.31,-0.02,-0.07,0.05,-0.01,-0.0,-0.0,0.0,0.04,0.01,-0.02,0.06,0
16.39,8.19,3.19,0.57,0.18,652.4,-0.22,0.46,-0.01,-0.16,0.05,-0.01,0.0,-0.0,0.01,0.06,0.01,-0.03,0.07,0
13.87,5.47,2.31,0.39,0.14,503.95,-0.13,0.47,-0.01,-0.23,0.05,-0.0,-0.02,-0.0,0.0,0.06,0.0,-0.04,0.07,0
16.74,17.87,2.58,0.67,0.17,608.73,-0.29,0.45,-0.01,-0.1,0.05,-0.01,-0.03,-0.0,0.0,0.07,0.01,-0.03,0.07,0
13.23,6.34,2.42,0.45,0.15,539.26,-0.2,0.46,-0.01,-0.17,0.05,-0.01,-0.04,-0.0,0.01,0.08,0.01,-0.03,0.07,0
14.05,6.73,3.01,0.37,0.18,636.36,-0.24,0.45,-0.01,-0.18,0.05,-0.0,-0.05,-0.0,0.0,0.08,0.01,-0.03,0.07,0
15.85,18.25,2.32,1.63,0.1,345.74,-0.68,0.38,-0.0,-0.13,0.05,-0.01,-0.04,-0.0,0.0,0.06,0.01,-0.03,0.07,0
12.1,17.19,3.01,0.69,0.09,307.22,-0.24,0.45,-0.0,-0.15,0.05,-0.0,-0.03,-0.0,0.0,0.07,0.01,-0.03,0.07,0
12.05,25.62,1.65,0.52,0.07,253.8,-1.08,0.32,-0.0,-0.18,0.05,-0.0,-0.02,-0.0,0.0,0.06,0.01,-0.03,0.07,0
29.35,17.51,15.51,0.55,0.52,1863.42,-0.64,0.39,-0.03,-0.14,0.05,-0.0,-0.01,-0.0,-0.03,0.04,0.01,-0.03,0.07,0
17.94,8.09,3.07,0.87,0.19,681.8,-0.28,0.45,-0.01,-0.19,0.05,-0.0,-0.0,-0.01,0.0,0.05,0.01,-0.03,0.07,0
36.3,17.9,5.12,1.84,0.51,1826.84,-1.07,0.39,-0.03,-0.18,0.05,-0.01,-0.01,-0.0,-0.02,0.05,0.02,-0.03,0.08,0
14.08,11.16,3.83,1.28,0.1,344.42,-0.24,0.45,-0.0,-0.11,0.05,-0.01,-0.02,-0.0,-0.0,0.06,0.01,-0.03,0.07,0
18.49,24.47,0.63,3.74,0.09,322.2,-0.71,0.4,-0.0,-0.14,0.05,-0.01,-0.01,-0.0,0.01,0.05,0.02,-0.02,0.07,0
15.15,4.78,4.05,0.44,0.18,653.97,-0.16,0.47,-0.01,-0.26,0.05,-0.0,0.01,-0.01,-0.0,0.06,0.01,-0.04,0.08,0
44.82,15.22,6.71,0.52,0.72,2579.48,-1.78,0.35,-0.04,-0.25,0.05,-0.01,-0.01,-0.0,-0.01,0.04,0.01,-0.03,0.08,0
21.33,7.07,2.54,0.9,0.2,722.44,-0.28,0.45,-0.01,-0.26,0.05,-0.0,-0.01,-0.0,-0.0,0.06,0.01,-0.03,0.08,0
46.29,23.56,4.54,0.76,0.89,3195.63,-1.93,0.35,-0.04,-0.18,0.05,-0.0,-0.02,-0.0,-0.01,0.05,0.01,-0.02,0.08,0
26.24,9.02,5.62,1.22,0.31,1118.87,-0.41,0.44,-0.02,-0.25,0.05,-0.0,-0.02,-0.0,-0.01,0.06,0.01,-0.03,0.08,0
42.27,16.55,2.54,1.07,0.47,1701.74,-1.44,0.4,-0.02,-0.24,0.05,-0.0,-0.01,-0.0,0.0,0.05,0.01,-0.02,0.09,0
18.93,30.98,2.35,1.98,0.14,501.83,-1.44,0.28,-0.01,-0.16,0.05,-0.0,-0.0,-0.0,0.01,0.06,0.01,-0.03,0.08,0
14.84,6.1,1.21,0.69,0.06,215.43,-0.12,0.48,-0.0,-0.22,0.05,-0.0,-0.03,-0.0,0.01,0.08,0.0,-0.04,0.09,0
46.7,32.8,2.76,1.09,0.59,2127.39,-2.98,0.21,-0.03,-0.11,0.05,-0.0,-0.03,-0.0,0.0,0.07,0.01,-0.03,0.08,0
22.81,25.18,1.66,1.18,0.21,756.39,-0.96,0.37,-0.01,-0.1,0.05,-0.0,-0.01,-0.0,0.01,0.06,0.01,-0.03,0.09,0
17.19,19.66,0.29,1.56,0.07,246.53,-0.45,0.42,-0.0,-0.12,0.05,-0.0,-0.01,-0.0,0.01,0.07,0.01,-0.03,0.09,0
44.33,14.7,1.97,3.08,0.39,1390.1,-2.29,0.28,-0.02,-0.26,0.05,-0.01,-0.03,-0.0,0.01,0.06,0.02,-0.02,0.08,0
43.48,24.15,0.99,2.35,0.29,1056.52,-1.54,0.39,-0.01,-0.16,0.05,-0.0,-0.02,-0.0,0.01,0.05,0.01,-0.02,0.09,0
38.52,27.47,1.28,2.22,0.35,1254.09,-2.1,0.31,-0.02,-0.1,0.05,-0.0,-0.02,-0.0,0.01,0.06,0.01,-0.03,0.09,0
33.43,17.29,1.11,0.77,0.34,1209.98,-1.42,0.34,-0.02,-0.17,0.05,-0.0,-0.02,-0.0,0.01,0.06,0.01,-0.03,0.1,0
14.95,11.26,3.85,0.24,0.19,668.32,-0.26,0.45,-0.01,-0.09,0.05,-0.0,-0.02,-0.0,-0.0,0.08,0.0,-0.05,0.09,0
14.73,23.58,1.81,0.31,0.15,525.85,-0.52,0.42,-0.01,-0.15,0.05,-0.0,-0.02,-0.0,0.0,0.07,0.0,-0.05,0.09,0
25.19,5.08,9.82,0.3,0.34,1237.16,-0.24,0.46,-0.02,-0.33,0.05,-0.0,-0.02,-0.0,-0.04,0.07,0.0,-0.05,0.09,0
14.74,10.05,4.52,0.37,0.11,380.12,-0.27,0.45,-0.01,-0.11,0.05,-0.0,0.0,-0.01,-0.0,0.03,0.0,-0.05,0.09,0
16.95,7.84,0.67,0.46,0.19,683.09,-0.21,0.46,-0.01,-0.19,0.05,-0.0,0.0,-0.01,0.01,0.02,0.0,-0.04,0.1,0
15.12,8.44,1.75,0.52,0.13,468.04,-0.12,0.48,-0.01,-0.15,0.05,-0.0,0.0,-0.01,0.0,0.03,0.0,-0.05,0.1,0
46.17,6.71,8.96,0.67,0.8,2877.13,-2.08,0.29,-0.04,-0.37,0.05,-0.0,0.0,-0.01,-0.02,0.02,0.0,-0.04,0.1,0
22.03,7.49,2.87,0.58,0.18,658.75,-0.45,0.42,-0.01,-0.25,0.05,-0.0,0.0,-0.01,-0.0,0.02,0.0,-0.04,0.1,0
17.38,31.2,2.21,0.38,0.19,701.95,-1.17,0.33,-0.01,-0.16,0.05,-0.0,0.0,-0.01,0.0,0.03,0.0,-0.04,0.09,0
33.14,20.8,9.12,0.64,0.52,1873.45,-0.87,0.41,-0.03,-0.13,0.05,-0.0,0.0,-0.01,-0.03,0.02,0.01,-0.03,0.09,0
42.75,5.74,14.19,0.21,1.02,3684.49,-1.5,0.36,-0.05,-0.37,0.05,-0.01,0.01,-0.01,-0.04,0.02,0.01,-0.03,0.08,0
15.87,5.85,4.59,0.29,0.19,671.93,-0.17,0.47,-0.01,-0.24,0.05,-0.0,0.0,-0.01,-0.0,0.04,0.0,-0.04,0.1,0
27.28,14.85,2.47,0.28,0.27,976.47,-0.51,0.42,-0.01,-0.17,0.05,-0.0,0.0,-0.0,0.0,0.07,0.0,-0.02,0.1,0
17.83,9.15,2.26,0.35,0.24,846.98,-0.29,0.44,-0.01,-0.18,0.05,-0.0,-0.01,-0.0,0.0,0.08,0.01,-0.03,0.09,0
48.89,25.71,8.19,1.32,1.16,4174.6,-2.63,0.26,-0.06,-0.17,0.05,-0.01,-0.05,-0.0,-0.02,0.12,0.02,-0.02,0.07,0
